鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
大同區,建物,臺北市大同區太原路31~60號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住商用,磚造,,250.36,0,0,0,無,無,無,135337,541,,0.0,0,,RPOOMLNKKILFFBA27CC
大同區,建物,臺北市大同區華陰街181~210號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住家用,磚造,,218.19,0,0,0,無,無,無,178022,816,,0.0,0,,RPPOMLNKKILFFBA37CC
大同區,建物,臺北市大同區安西街1~30號,0.0,商,,,1051126,土地0建物1車位0,全,3,透天厝,,加強磚造,,128.85,2,3,2,有,無,無,30000,233,,0.0,0,,RPSOMLNKKILFFBA67CC
大安區,建物,臺北市大安區忠孝東路四段91~120號,0.0,商,,,1051114,土地0建物1車位0,見其他登記事項,12,店面(店鋪),住家用,鋼筋混凝土造,0581022,104.76,0,0,0,無,有,無,460000,4391,,0.0,0,租賃範圍:一樓西區部分,RPOOMLNKKILFFFA67CC
中山區,房地(土地+建物),臺北市中山區中原街31~60號,111.0,住,,,1051208,土地1建物1車位0,全,2,透天厝,,加強磚造,,176.3,0,0,0,無,無,無,60000,340,,0.0,0,,RPQNMLOKKILFFCA57CC
信義區,建物,臺北市信義區忠孝東路四段553巷22弄1~30號,0.0,住,,,1051201,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,174.56,2,1,1,有,無,有,65000,372,,0.0,0,,RPWNMLPKKILFFDA38CC
中山區,建物,臺北市中山區中山北路二段61~90號,0.0,商,,,1051118,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,加強磚造,0560518,26.8,0,0,0,無,無,無,90000,3358,,0.0,0,租賃範圍:一樓部分，約三分之一面積,RPQQMLQKKILFFCA08CC
信義區,建物,臺北市信義區嘉興街151~180號,0.0,住,,,1051207,土地0建物1車位0,全,2,透天厝,,加強磚造,,143.02,0,0,0,無,無,無,48000,336,,0.0,0,,RPVNMLTKKILFFDA68CC
士林區,建物,臺北市士林區磺溪街50巷1~30號,76.0,住,,,1051216,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0540730,104.3,3,2,1,有,無,無,25000,240,,0.0,0,,RPOOMLLLKILFFEA47CC
萬華區,房地(土地+建物),臺北市萬華區中華路二段1~30號,70.99,商,,,1051207,土地1建物3車位0,見其他登記事項,7,店面(店鋪),商業用,鋼筋混凝土造,0690822,563.51,0,0,0,無,無,無,100000,177,,0.0,0,,RPUNMLMLKILFFBA77CC
大同區,建物,臺北市大同區太原路31~60號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住商用,加強磚造,,497.4,0,0,0,無,無,無,156641,315,,0.0,0,"本案只承租2-4樓,有二位承租人",RPOPMLSLKILFFBA97CC
北投區,建物,臺北市北投區中和街301~330號,0.0,商,,,1051204,土地0建物0車位0,全,3,透天厝,住商用,加強磚造,0600416,125.76,3,2,2,有,無,有,26000,207,,0.0,0,承租部分面積,RPVOMLSLKILFFEA88CC
北投區,建物,臺北市北投區中和街錫安巷66弄1~30號,0.0,住,,,1051231,土地0建物1車位1,全,2,透天厝,住家用,鋼筋混凝土造,0831012,318.51,5,3,3,有,有,有,80000,251,一樓平面,0.0,0,,RPSNMLOJJHMFFEA77CC
萬華區,建物,臺北市萬華區德昌街1~30號,0.0,住,,,1051226,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0580501,233.24,0,0,0,無,無,無,65000,279,,0.0,0,,RPUOMLOJJHMFFBA77CC
中正區,建物,臺北市中正區中華路一段85巷1~30號,0.0,商,,,1051220,土地0建物1車位0,全,4,透天厝,,加強磚造,,294.23,0,0,0,無,無,無,67000,228,,0.0,0,含增建或未登記建物。,RPXNMLQJJHMFFBA28DC
中正區,建物,臺北市中正區延平南路151~180號,0.0,商,,,1051220,土地0建物2車位0,見其他登記事項,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,,465.03,0,0,0,無,無,無,105500,227,,0.0,0,,RPOOMLQJJHMFFBA47DC
士林區,建物,臺北市士林區後街21巷31~60號,0.0,住,,,1051219,土地0建物1車位0,全,2,透天厝,住家用,磚造,0490916,58.7,2,1,2,有,無,無,20000,341,,0.0,0,,RPSOMLKKJHMFFEA57CC
中山區,建物,臺北市中山區長安東路二段1~30號,0.0,商,,,1051230,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0600304,825.36,0,0,0,無,無,無,295000,357,,0.0,0,,RPSQMLMKJHMFFCA77CC
北投區,建物,臺北市北投區義理街63巷4弄1~30號,0.0,住,,,1051220,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780714,162.05,4,2,2,有,有,有,28500,176,,0.0,0,,RPROMLTKJHMFFEA38CC
南港區,房地(土地+建物),臺北市南港區興中路31~60號,32.0,商,,,1060120,土地1建物1車位0,見其他登記事項,1,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640722,115.2,0,0,0,無,無,有,45000,391,,0.0,0,,RPRRMLRJKHMFFDA38CC
中山區,建物,臺北市中山區錦州街421~450號,0.0,住,,,1060116,土地0建物2車位0,見其他登記事項,7,店面(店鋪),住家用,鋼筋混凝土造,0690405,262.25,0,0,0,無,無,無,210000,801,,0.0,0,"租金調整:第1-3年每月210,000元，第4-6年每月216,300元，第7-9年每月222,789元。地下室承租面積約102.48平方米",RPROMLTJKHMFFCA18CC
大安區,建物,臺北市大安區羅斯福路三段1~30號,0.0,,,,1060113,土地0建物1車位0,全,2,透天厝,見其他登記事項,見其他登記事項,1021104,192.84,0,0,0,無,無,無,123500,640,,0.0,0,,RPQNMLNKKHMFFFA77CC
中山區,房地(土地+建物),臺北市中山區新生北路二段133巷1~30號,197.0,住,,,1060124,土地2建物6車位0,見其他登記事項,6,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0721229,892.21,0,0,0,無,無,有,250000,280,,0.0,0,每月租金25萬(含稅),RPXOMLPKKHMFFCA58DC
大同區,房地(土地+建物),臺北市大同區赤峰街1~30號,49.0,住,,,1060202,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0720129,166.46,4,3,4,有,無,無,70000,421,,0.0,0,,RPSNMLQKKHMFFBA87CC
信義區,建物,臺北市信義區基隆路一段147巷5弄1~30號,0.0,住,,,1060220,土地0建物2車位0,見其他登記事項,5,店面(店鋪),商業用,鋼筋混凝土造,0841120,197.55,0,0,0,無,有,無,80000,405,,0.0,0,,RPSPMLMJLHMFFDA87CC
萬華區,建物,臺北市萬華區漢中街61~90號,0.0,商,,,1060209,土地0建物1車位0,見其他登記事項,4,店面(店鋪),,加強磚造,,329.75,0,0,2,有,無,無,980000,2972,,0.0,0,二樓做營業使用,RPPOMLTJLHMFFBA97CC
中山區,建物,臺北市中山區民生西路1~30號,0.0,商,,,1060215,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住家用,加強磚造,,187.56,0,0,2,有,無,無,270000,1440,,0.0,0,二樓做營業使用,RPUPMLOKLHMFFCA28CC
中正區,建物,臺北市中正區漢口街一段31~60號,0.0,商,,,1060222,土地0建物1車位0,全,6,透天厝,,鋼筋混凝土造,,261.36,4,4,4,有,無,無,65000,249,,0.0,0,,RPXPMLLLLHMFFBA28CC
萬華區,建物,臺北市萬華區昆明街121~150號,0.0,商,,,1060313,土地0建物1車位0,全,2,透天厝,,木造,,59.87,0,0,0,無,無,無,36000,601,,0.0,0,,RPRQMLLLLHMFFBA77CC
南港區,建物,臺北市南港區南港路一段181~210號,0.0,工,,,1060310,土地0建物1車位18,見其他登記事項,11,辦公商業大樓,見其他登記事項,見其他登記事項,0971013,5617.92,0,0,0,無,有,有,2538390,452,坡道平面,0.0,67500,,RPROMLMLLHMFFDA87CC
中山區,房地(土地+建物),臺北市中山區民權東路二段61~90號,0.0,商,,,1060224,土地2建物1車位0,全,3,透天厝,,加強磚造,,75.03,3,3,3,有,無,無,125000,1666,,0.0,0,,RPTPMLMLLHMFFCA08CC
松山區,建物,臺北市松山區民族東路751~780號,0.0,住,,,1060331,土地0建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0691023,107.86999999999999,3,2,2,有,有,有,35000,324,,0.0,0,,RPQOMLKKMHMFFDA57CC
內湖區,建物,臺北市內湖區成功路四段31~60號,0.0,商,,,1060320,土地0建物1車位0,見其他登記事項,16,店面(店鋪),商業用,鋼筋混凝土造,0781107,1017.27,0,0,0,無,有,無,220000,216,,0.0,0,,RPPPMLNKMHMFFCA77CC
中山區,房地(土地+建物),臺北市中山區長春路61~90號,110.84,商,,,1060324,土地1建物5車位0,見其他登記事項,12,店面(店鋪),商業用,鋼筋混凝土造,0690201,980.14,0,0,0,無,有,無,430000,439,,0.0,0,,RPTRMLNKMHMFFCA38CC
中山區,房地(土地+建物),臺北市中山區長安東路一段1~30號,116.0,商,,,1060324,土地1建物1車位0,全,4,透天厝,,加強磚造,,364.79,0,0,0,無,無,無,150000,411,,0.0,0,,RPSPMLSKMHMFFCA58CC
中山區,建物,臺北市中山區中山北路二段20巷1~30號,0.0,商,,,1060330,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住家用,鋼筋混凝土造,0660606,162.54,0,0,0,無,無,無,205000,1261,,0.0,0,租金調整:第1年每月20.5萬，第2年每月21萬，第3年每月21.5萬,RPPOMLPLMHMFFCA97CC
大同區,房地(土地+建物),臺北市大同區承德路一段1~30號,0.0,商,,,1060330,土地0建物1車位0,全,3,透天厝,住家用,磚造,,200.07,0,3,3,有,無,無,170000,850,,0.0,0,,RPTOMLPLMHMFFBA28CC
